[BeGaze]
Converted from:	F:\1. ON ROAD - Track\005 RS\005 RS 20130223 Rested\SMI\005RS 20130223 - Rested.idf
Date:	08.08.2014 16:02:11
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	005RS 20130223 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5297916668	5298116410	199742	596.39	110.11	521.65	203.30	15.84	317.02	0.60	79.33	7185.11	-7565.52	2843.28
Saccade L	1	2	5298416048	5298436033	19985	504.44	200.55	402.59	285.68	2.21	338.87	1.00	110.46	8381.51	-8307.34	6230.61
Saccade L	1	3	5298555944	5298795675	239731	378.88	278.89	2.61	0.00	78.13	1224.41	1.00	325.90	27199.48	-30566.35	12997.96
Saccade L	1	4	5298855547	5298895428	39881	43.29	511.84	91.95	496.61	11.74	1290.40	0.00	294.38	1855.32	-30899.58	8447.38
Saccade L	1	5	5298995414	5299155286	159872	157.42	469.93	488.07	343.61	57.15	1474.94	0.37	357.45	36328.45	-36542.64	16241.59
Saccade L	1	6	5301153038	5301232945	79907	404.32	312.85	532.11	75.54	24.17	767.56	0.75	302.47	11989.77	-18184.91	11396.30
Saccade L	1	7	5301412666	5301852177	439511	480.46	95.17	360.24	274.94	312.87	1494.16	0.41	711.86	36348.36	-34005.97	14713.20
Saccade L	1	8	5303330568	5303350544	19976	459.26	157.85	529.58	131.49	7.63	1222.24	0.00	382.16	4796.27	-27692.46	12384.79
Saccade L	1	9	5303530305	5303650174	119869	491.80	171.22	536.78	147.10	106.50	1394.24	1.00	888.47	32677.71	-34796.45	16745.18
Saccade L	1	10	5304089661	5304129606	39945	507.40	109.29	341.44	271.58	7.22	462.14	1.00	180.77	7739.33	-11410.31	8178.91
Saccade L	1	11	5304349428	5304529174	179746	414.70	276.30	439.15	277.12	59.70	1304.25	0.78	332.12	32558.56	-31450.09	13470.59
Saccade L	1	12	5304649067	5304728902	79835	440.41	283.91	386.34	277.00	21.48	483.97	0.50	269.06	12022.70	-11672.99	7908.63
Saccade L	1	13	5305088561	5305108628	20067	396.25	276.14	400.96	88.05	2.47	479.74	1.00	123.22	11923.35	-11772.67	7959.04
Saccade L	1	14	5306227449	5306267619	40170	423.04	165.97	443.44	100.15	15.01	1145.87	0.00	373.58	6847.30	-17479.78	10562.38
Saccade L	1	15	5307066756	5307605779	539023	488.10	197.15	517.42	161.97	584.12	1379.76	0.48	1083.66	33730.97	-33958.06	11606.47
Saccade L	1	16	5307925445	5307945543	20098	533.54	167.71	578.76	187.89	0.97	126.55	1.00	48.49	3052.84	-3070.18	2209.26
Saccade L	1	17	5308664887	5308744786	79899	503.73	168.65	502.17	168.04	76.02	1333.04	0.00	951.42	33325.94	-33269.95	16655.21
Saccade L	1	18	5309664006	5309783469	119463	227.65	150.49	122.12	408.37	35.41	830.57	0.67	296.41	20690.97	-17277.67	11310.55
Saccade L	1	19	5311841104	5311962034	120930	262.71	355.91	191.60	558.15	9.34	184.50	0.83	77.26	4383.01	-1837.03	1647.35
Saccade L	1	20	5312062123	5312080828	18705	195.36	644.50	198.07	648.36	0.21	16.38	0.00	11.01	466.38	-199.74	262.46
Saccade L	1	21	5312460920	5312480314	19394	256.34	632.51	257.64	632.65	0.06	4.62	1.00	3.28	-19.17	-46.73	32.68
Saccade L	1	22	5313260624	5313299573	38949	277.37	309.65	282.66	425.71	3.23	188.73	1.00	83.04	4665.48	-4608.75	2995.06
