[BeGaze]
Converted from:	F:\1. ON ROAD - Track\006 JW\006 JW 20130413 Rested\SMI\006 JW 20130413 - Rested.idf
Date:	08.08.2014 16:12:12
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	006 JW 20130413 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5688913298	5688934251	20953	452.99	415.70	447.37	483.10	2.20	172.81	1.00	105.11	4279.12	-4129.94	2971.24
Saccade L	1	2	5689134004	5689153099	19095	493.28	506.46	557.73	507.94	1.48	164.73	1.00	77.76	3885.06	-3993.14	3700.74
Saccade L	1	3	5689352853	5689372773	19920	553.23	460.78	519.73	412.66	1.04	149.82	1.00	52.28	3465.33	-3457.44	2461.37
Saccade L	1	4	5689852377	5689872363	19986	395.99	381.82	430.50	324.46	8.10	1378.62	0.00	405.12	4275.40	-32693.80	13667.34
Saccade L	1	5	5690133004	5690172009	39005	445.50	316.51	517.90	406.87	3.31	172.50	0.49	84.83	4262.17	-2873.37	2906.81
Saccade L	1	6	5690491580	5690511574	19994	567.12	380.04	567.41	377.89	0.11	6.02	1.00	5.60	-11.68	-24.79	16.42
Saccade L	1	7	5691531504	5691550436	18932	404.76	334.65	400.40	339.32	0.30	17.56	0.00	16.05	36.74	-56.39	48.46
Saccade L	1	8	5692469306	5692489306	20000	326.23	340.06	319.41	340.40	1.04	156.59	0.00	51.82	-283.04	-3803.63	1470.75
Saccade L	1	9	5692789053	5692868927	79874	302.15	382.79	228.21	381.74	29.98	1190.20	0.75	375.31	25981.94	-29490.09	19043.12
Saccade L	1	10	5693248429	5693268441	20012	239.10	364.27	319.53	357.55	2.12	211.14	1.00	105.76	5208.20	-5104.18	5131.54
Saccade L	1	11	5693847836	5693867804	19968	410.73	349.42	410.79	349.38	0.01	1.01	1.00	0.68	3.95	-20.62	8.87
Saccade L	1	12	5694467045	5694507077	40032	411.03	335.47	305.34	408.83	3.29	179.95	0.50	82.10	4466.12	-3616.70	3575.43
Saccade L	1	13	5695825896	5696145214	319318	410.10	319.62	109.83	539.58	106.09	1418.34	0.81	332.23	35444.56	-33063.92	14076.01
Saccade L	1	14	5696265051	5696365058	100007	187.97	527.72	196.17	523.51	24.93	952.52	0.80	249.25	23636.01	-23596.45	13617.16
Saccade L	1	15	5697883326	5697963163	79837	424.59	432.87	412.15	424.38	2.84	190.06	1.00	35.54	4515.45	-37.73	873.25
Saccade L	1	16	5698063123	5698083057	19934	319.17	430.98	318.11	431.07	0.07	5.95	1.00	3.62	-20.67	-80.92	48.31
Saccade L	1	17	5698623638	5698702438	78800	377.21	353.04	196.22	226.88	24.14	1297.75	0.00	306.28	16974.37	-19487.85	9256.24
Saccade L	1	18	5699222890	5699241799	18909	441.17	323.50	453.06	347.52	0.38	68.48	1.00	20.25	1648.67	-1583.07	1084.89
Saccade L	1	19	5699761194	5699781186	19992	515.31	366.67	547.89	394.59	1.29	133.34	0.00	64.30	2644.74	-3075.73	2775.81
Saccade L	1	20	5700440468	5700460431	19963	587.71	347.57	588.45	347.70	0.03	2.78	0.00	1.58	20.38	-57.50	37.66
Saccade L	1	21	5700600283	5700621252	20969	527.86	315.56	429.89	376.72	9.98	1430.36	1.00	475.73	31562.49	7128.53	21606.03
Saccade L	1	22	5700680190	5700721350	41160	402.42	325.24	419.07	289.89	33.57	1340.01	1.00	815.61	28157.42	-32399.50	23384.70
Saccade L	1	23	5701699071	5701719423	20352	366.24	285.96	311.73	284.33	1.65	160.45	0.00	81.29	2993.35	-3867.46	3417.54
Saccade L	1	24	5706333813	5706353819	20006	427.92	294.42	426.93	292.57	0.11	10.02	0.00	5.67	28.26	-174.06	107.46
Saccade L	1	25	5706493682	5706514923	21241	423.15	294.74	376.11	383.69	8.58	1347.72	1.00	404.09	33471.22	6355.01	22303.58
Saccade L	1	26	5706573560	5706614640	41080	391.80	317.30	404.34	282.42	33.39	1340.37	1.00	812.77	25767.15	-31553.47	22521.20
Saccade L	1	27	5707332846	5707352700	19854	342.25	260.52	301.92	267.39	1.32	158.73	1.00	66.58	3931.70	-1964.42	2823.43
Saccade L	1	28	5707592446	5707612773	20327	228.27	291.95	196.34	289.73	0.65	81.78	1.00	31.87	2041.18	-1860.67	1652.37
Saccade L	1	29	5709411502	5709430379	18877	409.42	294.19	408.17	294.95	0.05	3.73	1.00	2.85	40.43	-58.12	46.01
Saccade L	1	30	5709929821	5709949827	20006	447.23	236.51	447.63	234.68	0.10	5.96	1.00	5.09	5.15	-29.06	16.94
Saccade L	1	31	5711508408	5711528175	19767	419.57	308.07	424.11	335.60	0.47	71.33	1.00	23.85	1714.23	-1686.65	1216.37
Saccade L	1	32	5711908804	5711927583	18779	378.41	418.26	409.68	357.10	7.59	1412.22	0.00	404.26	4387.47	-34571.91	14406.30
Saccade L	1	33	5712127449	5712147435	19986	414.61	346.96	384.84	417.43	1.43	195.44	1.00	71.41	4860.10	-4593.25	3862.09
Saccade L	1	34	5712807637	5712886608	78971	368.69	350.82	390.07	289.89	61.34	1279.01	0.00	776.76	31975.16	-29354.14	19075.79
Saccade L	1	35	5714324852	5714344961	20109	366.00	273.21	332.44	282.95	1.12	130.36	0.00	55.74	2222.09	-3186.24	2512.60
Saccade L	1	36	5718759975	5718779947	19972	414.43	314.28	407.55	372.00	1.68	148.53	1.00	84.12	3637.58	-2887.16	2880.56
Saccade L	1	37	5719679029	5719700052	21023	413.42	344.05	390.53	418.04	1.74	197.85	1.00	82.54	4888.03	-4726.88	3680.93
Saccade L	1	38	5720198771	5720218324	19553	384.82	373.77	391.49	315.43	1.98	189.91	0.00	101.30	3626.71	-3507.63	3458.43
Saccade L	1	39	5722535828	5722556127	20299	439.34	338.35	440.50	338.21	0.08	5.37	0.00	4.15	-1.28	-54.82	35.80
Saccade L	1	40	5722895597	5722915561	19964	424.55	350.68	400.75	414.94	1.47	175.09	1.00	73.86	4246.04	-4187.89	3019.77
Saccade L	1	41	5723254951	5723275188	20237	-73.41	688.64	418.21	339.59	16.34	1716.66	0.00	807.29	37633.11	-42737.37	39309.38
Saccade L	1	42	5724074401	5724095183	20782	405.82	404.24	398.00	459.41	1.70	151.47	0.00	81.59	3515.12	-3381.78	3304.51
Saccade L	1	43	5724553874	5724573449	19575	386.38	468.52	393.59	390.77	1.63	199.49	1.00	83.18	4946.45	-4016.14	3360.79
