[BeGaze]
Converted from:	F:\1. ON ROAD - Track\004 CW\004CW 20121202 Rested\SMI\004CW 20121202 - Rested.idf
Date:	08.08.2014 15:52:11
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	004CW 20121202 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	6506719069	6506738785	19716	406.01	271.21	327.86	289.27	1.80	204.93	1.00	91.33	5104.53	-4976.56	4256.39
Saccade L	1	2	6507798370	6507817587	19217	276.51	323.02	351.07	306.36	1.72	195.16	1.00	89.74	4853.11	-4246.61	4238.36
Saccade L	1	3	6507897762	6507917663	19901	420.98	277.87	422.60	275.49	0.13	9.02	1.00	6.38	-39.17	-146.60	75.68
Saccade L	1	4	6509016159	6509036388	20229	383.98	273.37	315.80	282.05	1.41	175.61	1.00	69.71	4362.89	-4210.63	3288.46
Saccade L	1	5	6510814155	6510834234	20079	377.82	286.95	402.16	283.22	0.91	115.27	0.00	45.54	1545.58	-2811.05	1961.26
Saccade L	1	6	6511773041	6511794252	21211	370.14	277.07	336.71	282.10	0.98	89.99	0.00	46.01	2142.36	-2077.66	2098.38
Saccade L	1	7	6524159283	6524179522	20239	396.71	268.96	377.15	269.91	0.29	50.04	1.00	14.50	1232.17	-1212.99	843.02
Saccade L	1	8	6528614290	6528634272	19982	398.46	304.83	401.58	381.40	2.19	195.78	1.00	109.65	4836.51	-3637.45	3403.12
Saccade L	1	9	6528875262	6528893915	18653	408.41	465.59	426.11	470.14	0.30	46.70	1.00	16.14	1137.67	-1103.11	863.84
Saccade L	1	10	6529533312	6529553339	20027	393.64	293.11	413.71	272.38	0.69	73.73	1.00	34.56	1840.74	-1759.67	1487.35
Saccade L	1	11	6530951648	6531031538	79890	451.22	183.79	439.81	197.35	69.75	1226.11	0.00	873.10	30652.87	-30322.23	15246.52
Saccade L	1	12	6531830718	6531871062	40344	449.06	248.25	333.72	392.13	4.70	286.30	0.49	116.40	6957.34	-5158.45	5181.49
Saccade L	1	13	6532030409	6532071499	41090	325.89	412.86	224.06	535.63	4.16	234.14	0.49	101.13	5603.52	-4006.83	4406.65
Saccade L	1	14	6532570220	6532589792	19572	544.47	252.33	548.44	191.11	8.22	1498.56	0.00	419.96	3919.03	-36851.50	14778.99
